team,elo
Scotland,1695.922656260551
England,1926.2918643668488
Wales,1669.7779141047006
Northern Ireland,1574.5187220761666
United States,1779.7219388446651
Canada,1752.6351423051
Uruguay,1801.5966118110039
Argentina,2008.5109046734767
Austria,1775.9398163182764
Hungary,1712.1710177535124
Czechoslovakia,1670.0643240097238
Belgium,1858.4782624793338
France,1970.9893541964395
Switzerland,1812.468318364137
Guernsey,1672.4028751581372
Alderney,1183.2131388160428
Jersey,1720.0516662496882
Netherlands,1881.709725603219
Guyana,1458.2567710755377
Trinidad and Tobago,1498.907575221332
South Africa,1636.7172198149713
Germany,1879.7247604966913
Sweden,1713.3540638243608
Norway,1793.3495568664628
Denmark,1805.1862980575431
Italy,1852.559700664441
Chile,1703.4526255406922
Russia,1755.8834904766793
Finland,1553.3160250793414
Luxembourg,1439.3721950866206
Catalonia,1629.133114648564
Philippines,1387.7363689936117
China,1552.2635603015863
Brazil,1917.9399593789758
Basque Country,1713.192804469265
Japan,1854.4203129037994
Paraguay,1733.6103307342685
Romania,1632.168436576147
Greece,1689.5967460258123
Yugoslavia,1693.6140182630081
Spain,1999.6209327152212
Egypt,1736.5488438862901
Estonia,1441.2069955093768
Suriname,1517.722762397893
Provence,1459.0338244814272
Costa Rica,1647.309258774685
El Salvador,1481.3817906344889
Guatemala,1559.45967512043
Poland,1720.9712817886468
Portugal,1900.3847350311732
Brittany,1521.2503385117789
New Zealand,1602.3127388026446
Australia,1765.69893586105
Latvia,1357.7298249653525
Galicia,1532.42636513057
Central Spain,1500.55049469111
Mexico,1844.6941561738138
Andalusia,1581.8997214413555
Asturias,1510.56675634087
Lithuania,1351.7596449955865
Turkey,1780.2715982330856
Aruba,1284.5729044704224
Curaçao,1502.921997418862
Bulgaria,1508.3413191246318
Republic of Ireland,1667.3361443332847
Haiti,1571.7746643687865
Jamaica,1600.692247460062
Kenya,1481.1417333090378
Uganda,1493.5226909440737
Bolivia,1576.3466077546088
Peru,1675.7803073512137
Honduras,1593.5053888707873
Belarus,1519.4053235961424
Ukraine,1736.8804933212064
Barbados,1265.8121245143475
Nicaragua,1447.462233602319
Cuba,1413.2475064757352
Martinique,1472.9319714327505
Dominica,1281.4161174432236
Silesia,1507.9517100793605
Guadeloupe,1500.980102555149
Israel,1594.0993389815321
Indonesia,1503.0029775281173
French Guiana,1432.9677373362665
Saint Lucia,1334.5870916324984
Colombia,1894.1592245640595
Panama,1670.5785257257492
Venezuela,1695.932806080792
Ecuador,1810.2301763740174
Saint Kitts and Nevis,1376.7179139247717
